SBSCR_NBR,SOURCE_PATIENT_ID,EMPI,MBR_LST_NM,MBR_MIDL_INIT,MBR_FST_NM,MBR_GDR_CD,BTH_DT,CONTR_CURR_PLN_NM,CONTR_NBR,CONTR_PBP,CONTR_NBR_PBP,CURR_MBI,DTH_DT,RECORD_START_DT,RECORD_END_DT,MBR_ADR_LOC_ADR1,MBR_ADR_LOC_ADR2,MBR_ADR_LOC_CTY,MBR_ADR_LOC_ST_CD,MBR_ADR_LOC_ZIP_CD,SBSCR_CNTY_NM,MBR_DO_NOT_CNTC_FLG,ASSIGNED_PROVIDER_NPI,ASSIGNED_TIN
104808199,78141-5B17XS8RE21T,1019953327,HATHORN,G,JASON,female,1953-05-28,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7F09GW6WX17,,01/01/2026,12/31/2099,6875 MADISON RD,,DANIELSBURY,NY,13208,,N,7150493670,371001847
805055452,10503-2Z15CF1UF37T,1020528767,ARCHEVAL,,DONNA,female,1945-01-05,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3D73RJ1FV01,2024-07-12 00:00:00.000,01/01/2024,02/29/2024,1296 SUNSET ST,UNIT 11D,LAKE LISABURGH,NY,13227,,N,6130549963,371001847
805055452,10503-2Z15CF1UF37T,1020528767,ARCHEVAL,,ERIC,female,1945-05-15,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3D73RJ1FV01,2024-07-12 00:00:00.000,03/01/2024,07/31/2024,9917 VALLEY LN,UNIT 9D,NEW MATTHEW,NY,13241,,N,6130549963,371001847
805055452,10503-2Z15CF1UF37T,1020528767,ARCHEVAL,,GLENN,female,1945-11-28,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,3D73RJ1FV01,2024-07-12 00:00:00.000,07/01/2023,12/31/2023,8102 MADISON LN,APT 4G,WEST LISA,NY,13201,,N,6130549963,371001847
693802758,62266-1UB5PI9MG83T,1024064840,HONORET PEREZ,R,CHARLES,male,1946-01-06,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,1YF8UM7ED25,,01/01/2023,10/31/2023,6322 CHURCH AVE,,WEST CHRISTINA,NY,10490,,N,2864044646,299314805
693802758,62266-1UB5PI9MG83T,1024064840,HONORET PEREZ,M,AARON,male,1946-09-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1YF8UM7ED25,,01/01/2024,11/30/2024,1213 BROADWAY DR,,REESEFURT,NY,10431,,N,2864044646,299314805
693802758,62266-1UB5PI9MG83T,1024064840,HONORET PEREZ,K,SHANNON,male,1946-11-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1YF8UM7ED25,,01/01/2025,12/31/2025,4141 LINCOLN AVE,,MILLERLAND,NY,10403,,N,2864044646,299314805
693802758,62266-1UB5PI9MG83T,1024064840,HONORET PEREZ,H,BRITTNEY,male,1946-05-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1YF8UM7ED25,,01/01/2026,12/31/2099,5542 LINCOLN BLVD,,ERICSTAD,NY,10436,,N,2864044646,299314805
693802758,62266-1UB5PI9MG83T,1024064840,HONORET PEREZ,H,KELLY,male,1946-02-05,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,1YF8UM7ED25,,11/01/2023,12/31/2023,9849 LINCOLN AVE,,WHITEFORT,NY,10474,,N,2864044646,299314805
693802758,62266-1UB5PI9MG83T,1024064840,HONORET PEREZ,A,JESSE,male,1946-09-15,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1YF8UM7ED25,,12/01/2024,12/31/2024,4247 RIDGE DR,,NORTH WILLIAMHAVEN,NY,10410,,N,2864044646,299314805
375041913,62268-7Y79GJ9QM89T,1024480682,CYRIUS,,JASMINE,male,1971-11-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9C76DN3JH72,,10/01/2024,11/30/2024,9905 CEDAR PL,,EAST JOANSHIRE,NY,11667,,N,7209158507,704906135
962036136,47463-0SM5BM9LV68T,1024065224,HERNANDEZ,,JACQUELINE,female,1944-06-05,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8WA7CQ2NM38,,01/01/2023,10/31/2023,2535 FULTON BLVD,STE 17A,NORTH MEGANVILLE,NY,10088,,N,2864044646,299314805
962036136,47463-0SM5BM9LV68T,1024065224,HERNANDEZ,,SHAWN,female,1944-08-23,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8WA7CQ2NM38,,01/01/2024,11/30/2024,3406 PARK TER,STE 7G,LAKE KRYSTAL,NY,10085,,N,2864044646,299314805
962036136,47463-0SM5BM9LV68T,1024065224,HERNANDEZ,,GRACE,female,1944-02-25,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8WA7CQ2NM38,,01/01/2025,12/31/2025,6578 LINCOLN RD,APT 13D,BRYANHAVEN,NY,10036,,N,2864044646,299314805
962036136,47463-0SM5BM9LV68T,1024065224,HERNANDEZ,,SANDRA,female,1944-10-07,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8WA7CQ2NM38,,01/01/2026,12/31/2099,7837 JEROME BLVD,UNIT 16B,SOUTH JIM,NY,10041,,N,2864044646,299314805
962036136,47463-0SM5BM9LV68T,1024065224,HERNANDEZ,,KRISTIN,female,1944-07-16,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8WA7CQ2NM38,,11/01/2023,12/31/2023,7032 PINE RD,STE 17G,CARRIEHAVEN,NY,10036,,N,2864044646,299314805
962036136,47463-0SM5BM9LV68T,1024065224,HERNANDEZ,,COLLEEN,female,1944-09-12,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8WA7CQ2NM38,,12/01/2024,12/31/2024,7286 ELM TER,APT 7D,GOMEZSIDE,NY,10032,,N,2864044646,299314805
482667939,11349-3UX2ZQ5ST36T,1024063950,BELCHAR BARRIOS,,DONNA,male,1950-08-13,UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP),H6288,015,H9336-490,5YJ1TU3PW03,,05/01/2023,08/31/2023,3825 RIDGE AVE,UNIT 12C,LAKE BRIAN,NY,11364,,N,7497763814,153761673
856292087,82486-4DG7RZ7QH43T,1019952826,CEPEDA PIZARRO,,SARAH,male,1950-05-28,UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP),H6288,015,H9336-490,7HC9YD3JA59,,01/01/2023,12/31/2023,6892 SUNSET BLVD,,ALEXANDRIABURGH,NY,13238,,N,6130549963,371001847
856292087,82486-4DG7RZ7QH43T,1019952826,CEPEDA PIZARRO,,RONALD,male,1950-07-07,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,7HC9YD3JA59,,01/01/2024,05/31/2024,7272 AMSTERDAM CT,,KATHLEENMOUTH,NY,13217,,N,6130549963,371001847
856292087,82486-4DG7RZ7QH43T,1019952826,CEPEDA PIZARRO,,AMY,male,1950-10-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7HC9YD3JA59,,01/01/2025,12/31/2025,3264 MAIN PL,,REBECCATOWN,NY,13229,,N,6130549963,371001847
856292087,82486-4DG7RZ7QH43T,1019952826,CEPEDA PIZARRO,,DEBORAH,male,1950-04-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7HC9YD3JA59,,01/01/2026,12/31/2099,7789 LEXINGTON BLVD,,LAKE CODY,NY,13245,,N,6130549963,371001847
856292087,82486-4DG7RZ7QH43T,1019952826,CEPEDA PIZARRO,,REBEKAH,male,1950-02-02,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,7HC9YD3JA59,,06/01/2024,12/31/2024,4129 BOSTON ST,,PORT BRADLEY,NY,13291,,N,6130549963,371001847
708321772,85537-1I32C84PP65T,1024065605,MATOS,,MARGARET,female,1948-11-16,UHC Dual Complete NY-S001 (PPO D-SNP),H8681,063,H2272-523,5M13R23YU95,,01/01/2025,10/31/2025,3830 FOREST RD,,EAST MICHAEL,NY,10425,,N,7636745243,672323723
134328109,98564-7DG7QP1FC25T,1021691578,THOMAS,G,CHARLES,female,1976-05-20,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4HC8KT8AR53,,01/01/2024,09/30/2024,8603 FULTON ST,STE 19A,SHAWNSTAD,NY,11267,,N,5684393861,308111395
134328109,98564-7DG7QP1FC25T,1021691578,THOMAS,N,GABRIEL,female,1976-02-22,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,4HC8KT8AR53,,05/01/2023,12/31/2023,204 BOSTON BLVD,APT 9E,EAST MOLLYBURGH,NY,11212,,N,5684393861,308111395
240236878,13614-9TZ2SZ8JV09T,1021972779,MESIDOR,,KYLE,male,1950-07-04,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,3XP2JD8QM00,,01/01/2024,03/31/2024,5818 JEROME RD,,MADISONFORT,NY,11293,,N,2737493809,185175869
208618491,92762-8IY3N07VL19T,1024064707,CARELA,L,KAITLYN,male,1964-10-10,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,5MW4N66GQ70,,08/01/2023,11/30/2023,151 HILL RD,UNIT 17B,MAYHAVEN,NY,10400,,N,7636745243,672323723
988005317,28258-0UB7LM4AG17T,1019953023,GANTHIER,J,ASHLEY,male,1943-03-08,UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP),H6288,015,H9336-490,7YF4QQ9RD95,,01/01/2023,12/31/2023,6255 AMSTERDAM CT,,ALEXASIDE,NY,11280,,N,2737493809,185175869
988005317,28258-0UB7LM4AG17T,1019953023,GANTHIER,C,KEITH,male,1943-11-05,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,7YF4QQ9RD95,,01/01/2024,12/31/2024,6922 PARK AVE,,LAKE JOSE,NY,11297,,N,2737493809,185175869
988005317,28258-0UB7LM4AG17T,1019953023,GANTHIER,J,DAVID,male,1943-02-12,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,7YF4QQ9RD95,,01/01/2025,12/31/2025,8061 CEDAR CT,,PORT BRYANVIEW,NY,11213,,N,2737493809,185175869
988005317,28258-0UB7LM4AG17T,1019953023,GANTHIER,M,HALEY,male,1943-05-02,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,7YF4QQ9RD95,,01/01/2026,12/31/2099,8180 TREMONT LN,,NORTH DONNA,NY,11270,,N,2737493809,185175869
749950445,39041-2JB3F03AN06T,1024065264,TAYLOR,,HOLLY,female,1946-02-23,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,6NF2V25RN02,,01/01/2023,12/31/2023,3598 PINE TER,APT 20B,PORT DEBBIELAND,NY,10452,,N,3294708069,784249650
749950445,39041-2JB3F03AN06T,1024065264,TAYLOR,,SHERRI,female,1946-04-03,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,6NF2V25RN02,,01/01/2024,12/31/2024,1851 CEDAR DR,APT 8G,ROBERTBURY,NY,10446,,N,3294708069,784249650
749950445,39041-2JB3F03AN06T,1024065264,TAYLOR,,VINCENT,female,1946-06-07,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,6NF2V25RN02,,01/01/2025,03/31/2025,6283 SUNSET LN,UNIT 15G,NEW JOYFORT,NY,10477,,N,3294708069,784249650
270618676,71445-7RS4T76DX67T,1025198721,GUZMAN,T,TROY,female,1931-06-02,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1VN9W55VG14,,02/01/2025,07/31/2025,7134 RIVER RD,APT 6C,JACLYNFORT,NY,10077,,N,8789443841,111378248
360901207,72077-4FQ9P11OH80T,1019952996,HUETTE,N,CHRISTOPHER,male,1946-07-20,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,4JQ7U28KA71,,01/01/2023,08/31/2023,1778 HIGHLAND TER,UNIT 3G,SCHNEIDERPORT,NY,13262,,N,7150493670,371001847
360901207,72077-4FQ9P11OH80T,1019952996,HUETTE,W,BILL,male,1946-11-14,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4JQ7U28KA71,,01/01/2026,12/31/2099,3214 MAIN ST,STE 9E,LAKE GERALD,NY,13237,,N,7150493670,371001847
360901207,72077-4FQ9P11OH80T,1019952996,HUETTE,L,RYAN,male,1946-11-06,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4JQ7U28KA71,,02/01/2025,10/31/2025,1186 MADISON LN,UNIT 1E,EAST ANTONIO,NY,13216,,N,7150493670,371001847
360901207,72077-4FQ9P11OH80T,1019952996,HUETTE,A,MARCUS,male,1946-07-03,UHC Dual Complete NY-S001 (PPO D-SNP),H8681,063,H2272-523,4JQ7U28KA71,,11/01/2025,12/31/2025,19 WASHINGTON PL,APT 4G,PETERSENBURGH,NY,13279,,N,7150493670,371001847
775630166,61438-2NL9Z55KS49T,1026618922,THOMAS,D,JOHN,male,1975-07-18,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9RD5T92HJ88,,09/01/2025,09/30/2025,2989 HIGHLAND ST,STE 9C,EAST ANDREA,NY,11719,,N,4457857716,641762827
775630166,61438-2NL9Z55KS49T,1026618922,THOMAS,J,CHRISTOPHER,male,1975-05-27,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9RD5T92HJ88,,10/01/2025,12/31/2025,3900 OAK TER,STE 16E,NORTH KERRI,NY,11731,,N,4457857716,641762827
242840609,69338-8RL8FG9VE07T,1019953799,VANDERBUSH,,SUZANNE,female,1972-06-11,UnitedHealthcare Dual Complete Plan 2 (HMO-POS D-SNP),H6288,015,H9336-490,4VD3VK4GX00,,01/01/2023,12/31/2023,2690 CEDAR PL,,WEST AUDREYSIDE,NY,14273,,N,4812033563,752230587
242840609,69338-8RL8FG9VE07T,1019953799,VANDERBUSH,,MARY,female,1972-03-11,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,4VD3VK4GX00,,01/01/2024,08/31/2024,3669 FLATBUSH RD,,SOUTH ANNEVIEW,NY,14274,,N,4812033563,752230587
242840609,69338-8RL8FG9VE07T,1019953799,VANDERBUSH,,BARBARA,female,1972-03-25,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,4VD3VK4GX00,,01/01/2025,03/31/2025,3300 FOREST RD,,SOUTH SUSANMOUTH,NY,14224,,N,4812033563,752230587
242840609,69338-8RL8FG9VE07T,1019953799,VANDERBUSH,,STEPHANIE,female,1972-11-16,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4VD3VK4GX00,,01/01/2026,12/31/2099,4925 PARK WAY,,NORTH RACHEL,NY,14227,,N,4812033563,752230587
242840609,69338-8RL8FG9VE07T,1019953799,VANDERBUSH,,YVONNE,female,1972-12-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4VD3VK4GX00,,04/01/2025,12/31/2025,6958 WASHINGTON ST,,SOUTH RUSSELL,NY,14288,,N,4812033563,752230587
242840609,69338-8RL8FG9VE07T,1019953799,VANDERBUSH,,EMILY,female,1972-02-01,UHC Dual Complete NY-Q001 (HMO-POS D-SNP),H6288,015,H9336-490,4VD3VK4GX00,,09/01/2024,12/31/2024,9724 FLATBUSH ST,,LAKE NATHANBURGH,NY,14279,,N,4812033563,752230587
586228728,13928-1WA1G44DU16T,1024801632,FUENTES,,JOSEPH,female,1948-03-21,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5AM2D06VP19,,01/01/2025,12/31/2025,6208 HILL TER,,EAST JOSEPH,NY,13223,,N,6130549963,371001847
586228728,13928-1WA1G44DU16T,1024801632,FUENTES,,BILLY,female,1948-06-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5AM2D06VP19,,01/01/2026,12/31/2099,5126 MILL ST,,SANCHEZBURGH,NY,13228,,N,6130549963,371001847
924309892,20160-2A27XN9FN84T,1024802722,EPPS,F,KATELYN,male,1960-08-24,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8E81GR7AN27,2023-08-24 00:00:00.000,01/01/2023,02/28/2023,4701 FULTON TER,,LISAMOUTH,NY,14249,,N,4380521656,891113202
924309892,20160-2A27XN9FN84T,1024802722,EPPS,J,THOMAS,male,1960-02-23,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8E81GR7AN27,2023-08-24 00:00:00.000,04/01/2023,04/30/2023,4437 MAIN WAY,,SOUTH CAROLINELAND,NY,14204,,N,4380521656,891113202
332199539,56583-2C46PD4SW18T,1027187745,LITTLES,B,DENISE,male,1952-08-19,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1G90UH9PF22,,01/01/2026,12/31/2099,6662 JEROME RD,,CLAYSTAD,NY,14228,,N,3203470269,667564993
332199539,56583-2C46PD4SW18T,1027187745,LITTLES,D,SABRINA,male,1952-09-20,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1G90UH9PF22,,12/01/2025,12/31/2025,5101 HILL LN,,LISABURY,NY,14216,,N,3203470269,667564993
683943803,67495-8GT7E02UT86T,1022250566,OSTOLSKI,,HOWARD,male,1972-12-20,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,7KE9X15FW19,,01/01/2023,11/30/2023,1092 SUNSET CT,,NORTH XAVIER,NY,14235,,N,9839144363,667564993
546976823,84943-8LJ3NZ9SZ68T,1019952262,CHAVIS BONNER,P,BRENDA,female,1963-05-17,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,8PX2ND9PT91,,01/01/2023,12/31/2023,1541 LAKE TER,STE 1F,ERICALAND,NY,13268,,N,6130549963,371001847
546976823,84943-8LJ3NZ9SZ68T,1019952262,CHAVIS BONNER,M,CYNTHIA,female,1963-09-12,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8PX2ND9PT91,,01/01/2024,02/29/2024,2494 LEXINGTON DR,APT 19F,NORTH BENJAMIN,NY,13228,,N,6130549963,371001847
546976823,84943-8LJ3NZ9SZ68T,1019952262,CHAVIS BONNER,L,TRAVIS,female,1963-07-13,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8PX2ND9PT91,,01/01/2025,06/30/2025,825 MAIN BLVD,APT 4D,LAKE MARVINSHIRE,NY,13251,,N,6130549963,371001847
546976823,84943-8LJ3NZ9SZ68T,1019952262,CHAVIS BONNER,P,CHRISTOPHER,female,1963-10-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8PX2ND9PT91,,03/01/2024,08/31/2024,8614 CHURCH DR,UNIT 20E,NORTH MELISSAVIEW,NY,13229,,N,6130549963,371001847
546976823,84943-8LJ3NZ9SZ68T,1019952262,CHAVIS BONNER,T,MICHAEL,female,1963-09-19,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,8PX2ND9PT91,,09/01/2024,12/31/2024,4552 RIDGE BLVD,APT 1D,KRISTINEPORT,NY,13290,,N,6130549963,371001847
153059928,12191-8ZA0OS6MU53T,1019953227,GIBSON,D,MATHEW,female,1955-10-08,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,2DM5EW2EP89,,01/01/2023,12/31/2023,8788 HIGHLAND RD,STE 4F,WEST BARBARA,NY,14080,,N,8700033313,786732152
153059928,12191-8ZA0OS6MU53T,1019953227,GIBSON,N,ELIZABETH,female,1955-01-01,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2DM5EW2EP89,,01/01/2024,12/31/2024,5435 SUNSET ST,APT 15A,CARLOSMOUTH,NY,14016,,N,8700033313,786732152
153059928,12191-8ZA0OS6MU53T,1019953227,GIBSON,G,MIA,female,1955-06-04,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2DM5EW2EP89,,01/01/2025,12/31/2025,7788 RIVER BLVD,UNIT 3A,MARTINEZSTAD,NY,14048,,N,8700033313,786732152
153059928,12191-8ZA0OS6MU53T,1019953227,GIBSON,J,MARK,female,1955-10-21,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,2DM5EW2EP89,,01/01/2026,12/31/2099,8439 CEDAR PL,APT 3G,MAKAYLAFURT,NY,14062,,N,8700033313,786732152
296858947,86596-0P23X71TH52T,1024739476,GABLE,B,HEATHER,female,1942-12-24,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,6T48G60MA43,,01/01/2025,05/31/2025,332 WASHINGTON CT,STE 4F,NEW ALLEN,NY,13207,,N,2587981835,371001847
269785540,59784-2JU1WT9XV66T,1019952667,SWAGGARD,,KEITH,female,1956-06-14,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,1NU3FX1TM92,,01/01/2023,12/31/2023,9512 AMSTERDAM RD,APT 17G,PORT WILLIAM,NY,14231,,Y,8237393774,511009662
269785540,59784-2JU1WT9XV66T,1019952667,SWAGGARD,,SIERRA,female,1956-08-12,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1NU3FX1TM92,,01/01/2024,12/31/2024,4391 MAIN ST,STE 19E,RYANCHESTER,NY,14228,,Y,8237393774,511009662
269785540,59784-2JU1WT9XV66T,1019952667,SWAGGARD,,LISA,female,1956-11-13,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1NU3FX1TM92,,01/01/2025,11/30/2025,167 MAPLE ST,APT 14A,PORT MACKENZIESHIRE,NY,14206,,Y,8237393774,511009662
269785540,59784-2JU1WT9XV66T,1019952667,SWAGGARD,,ANDREA,female,1956-04-12,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1NU3FX1TM92,,01/01/2026,12/31/2099,5390 HILL PL,APT 8G,PORT CHRISTOPHERBURGH,NY,14270,,Y,8237393774,511009662
269785540,59784-2JU1WT9XV66T,1019952667,SWAGGARD,,SHAWN,female,1956-06-25,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,1NU3FX1TM92,,12/01/2025,12/31/2025,9455 TREMONT CT,STE 1D,DEBORAHSHIRE,NY,14258,,Y,8237393774,511009662
915426939,80975-2RG1TD4SE62T,1024480967,ORTIZ,,LEONARD,female,1967-09-10,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9VC1WH8PX98,,01/01/2025,12/31/2025,7768 VALLEY ST,,WEST KAITLINLAND,NY,13268,,N,5728276646,371001847
915426939,80975-2RG1TD4SE62T,1024480967,ORTIZ,,MARCUS,female,1967-03-28,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9VC1WH8PX98,,01/01/2026,12/31/2099,3674 MADISON WAY,,SOUTH DERRICK,NY,13202,,N,5728276646,371001847
915426939,80975-2RG1TD4SE62T,1024480967,ORTIZ,,TARA,female,1967-03-15,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9VC1WH8PX98,,10/01/2024,11/30/2024,4218 BOSTON TER,,GINAFORT,NY,13275,,N,5728276646,371001847
915426939,80975-2RG1TD4SE62T,1024480967,ORTIZ,,RICHARD,female,1967-11-24,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,9VC1WH8PX98,,12/01/2024,12/31/2024,6171 RIVER RD,,ANTHONYHAVEN,NY,13208,,N,5728276646,371001847
209220557,10983-1WC3P37EL05T,1019951404,FUQUA,P,XAVIER,female,1963-02-15,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,4AG6U26DQ65,,01/01/2023,12/31/2023,2202 AMSTERDAM BLVD,,GONZALEZSIDE,NY,14256,,N,8237393774,511009662
209220557,10983-1WC3P37EL05T,1019951404,FUQUA,A,VANESSA,female,1963-03-13,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4AG6U26DQ65,,01/01/2024,12/31/2024,1885 JEROME WAY,,SOUTH JOSEPORT,NY,14235,,N,8237393774,511009662
209220557,10983-1WC3P37EL05T,1019951404,FUQUA,T,DIANE,female,1963-07-05,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4AG6U26DQ65,,01/01/2025,11/30/2025,9542 HILL PL,,ROBERTMOUTH,NY,14286,,N,8237393774,511009662
209220557,10983-1WC3P37EL05T,1019951404,FUQUA,W,AMY,female,1963-11-12,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4AG6U26DQ65,,02/01/2026,12/31/2099,9944 FLATBUSH BLVD,,SCOTTMOUTH,NY,14280,,N,8237393774,511009662
209220557,10983-1WC3P37EL05T,1019951404,FUQUA,G,ROBERT,female,1963-07-12,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,4AG6U26DQ65,,12/01/2025,12/31/2025,8193 HILL TER,,TRANBOROUGH,NY,14273,,N,8237393774,511009662
853736525,21462-2LG4T23KM48T,1019953620,EALY,M,JACOB,male,1957-01-09,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,5PC5W94HH96,,01/01/2023,10/31/2023,7974 RIDGE CT,,NORTH DANIELLE,NY,14266,,N,9806077723,406304617
853736525,21462-2LG4T23KM48T,1019953620,EALY,P,MICHAEL,male,1957-07-28,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5PC5W94HH96,,01/01/2024,12/31/2024,9515 LINCOLN RD,,CHAVEZBOROUGH,NY,14256,,N,7679809586,406304617
853736525,21462-2LG4T23KM48T,1019953620,EALY,C,KATHERINE,male,1957-01-16,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5PC5W94HH96,,01/01/2025,12/31/2025,8193 PELHAM LN,,LAKE SCOTT,NY,14246,,N,7679809586,406304617
853736525,21462-2LG4T23KM48T,1019953620,EALY,L,COLLEEN,male,1957-01-22,UHC Dual Complete NY-S002 (HMO-POS D-SNP),H6288,014,H2213-589,5PC5W94HH96,,01/01/2026,12/31/2099,7086 BOSTON DR,,STEWARTCHESTER,NY,14226,,N,7679809586,406304617
853736525,21462-2LG4T23KM48T,1019953620,EALY,L,KATHLEEN,male,1957-01-03,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,5PC5W94HH96,,11/01/2023,12/31/2023,5913 LAKE BLVD,,SOUTH GEOFFREY,NY,14253,,N,7679809586,406304617
201993223,21524-6BY3WY0DB30T,1019951506,EALY JR,D,JAMES,male,1995-05-28,UnitedHealthcare Dual Complete Plan 1 (HMO-POS D-SNP),H6288,014,H2213-589,6FW9FC5VC56,,01/01/2023,12/31/2023,2107 FLATBUSH DR,,NORTH KEITHLAND,NY,14272,,N,5505308181,406304617
